Asset Path,Type,Size (KB),Referenced By,Status,Action
# LEGACY ROOT ASSETS (ORPHANED)
src/assets/creator-avatar.jpg,image,~50,NONE,ORPHANED,DELETE
src/assets/fashion-project.jpg,image,~50,NONE,ORPHANED,DELETE
src/assets/fintech-project.jpg,image,~50,NONE,ORPHANED,DELETE
src/assets/innovator-marcus.jpg,image,~50,NONE,ORPHANED,DELETE
src/assets/innovator-sarah.jpg,image,~50,NONE,ORPHANED,DELETE
src/assets/portfolio-branding.jpg,image,~50,NONE,ORPHANED,DELETE
src/assets/portfolio-pitchdecks.jpg,image,~50,NONE,ORPHANED,DELETE
src/globals.css,stylesheet,~15,src/main.tsx (ORPHANED),ORPHANED,DELETE

# CREATOR APP ASSETS (ACTIVE)
apps/creator/public/favicon.ico,icon,~5,index.html,ACTIVE,KEEP
apps/creator/public/placeholder.svg,image,~2,Multiple components,ACTIVE,KEEP
apps/creator/public/robots.txt,config,<1,SEO,ACTIVE,KEEP
apps/creator/src/index.css,stylesheet,~20,main.tsx,ACTIVE,KEEP
apps/creator/src/App.css,stylesheet,~2,App.tsx,ACTIVE,KEEP
apps/creator/src/assets/creator-avatar.jpg,image,~50,lib/creatorData.ts,ACTIVE,KEEP
apps/creator/src/assets/fashion-project.jpg,image,~50,lib/creatorData.ts,ACTIVE,KEEP
apps/creator/src/assets/fintech-project.jpg,image,~50,lib/creatorData.ts,ACTIVE,KEEP
apps/creator/src/assets/innovator-marcus.jpg,image,~50,lib/creatorData.ts,ACTIVE,KEEP
apps/creator/src/assets/innovator-sarah.jpg,image,~50,lib/creatorData.ts,ACTIVE,KEEP
apps/creator/src/assets/portfolio-branding.jpg,image,~50,lib/creatorData.ts,ACTIVE,KEEP
apps/creator/src/assets/portfolio-pitchdecks.jpg,image,~50,lib/creatorData.ts,ACTIVE,KEEP

# INNOVATOR APP ASSETS (ACTIVE)
apps/innovator/public/favicon.ico,icon,~5,index.html,ACTIVE,KEEP
apps/innovator/public/placeholder.svg,image,~2,Multiple components,ACTIVE,KEEP
apps/innovator/public/robots.txt,config,<1,SEO,ACTIVE,KEEP
apps/innovator/src/index.css,stylesheet,~25,main.tsx,ACTIVE,KEEP
apps/innovator/src/App.css,stylesheet,~2,App.tsx,ACTIVE,KEEP

# INVESTOR APP ASSETS (ACTIVE)
apps/investor/public/favicon.ico,icon,~5,index.html,ACTIVE,KEEP
apps/investor/public/placeholder.svg,image,~2,Multiple components,ACTIVE,KEEP
apps/investor/public/robots.txt,config,<1,SEO,ACTIVE,KEEP
apps/investor/public/startup-video-1.jpg,image,~100,pages/Dashboard.tsx mockData,ACTIVE,KEEP
apps/investor/public/startup-video-2.jpg,image,~100,pages/Dashboard.tsx mockData,ACTIVE,KEEP
apps/investor/src/index.css,stylesheet,~30,main.tsx,ACTIVE,KEEP
apps/investor/src/App.css,stylesheet,~2,App.tsx,ACTIVE,KEEP

# ONBOARDING APP ASSETS (ACTIVE)
apps/onboarding/src/index.css,stylesheet,~10,main.tsx,ACTIVE,KEEP

# ROOT ORPHANED CONFIGS (DELETE)
index.html,html,<1,NONE (not served),ORPHANED,DELETE
dist/index.html,html,<1,Build artifact,ORPHANED,DELETE
dist/assets/index-BGuW7A8M.css,stylesheet,87.66,Build artifact,ORPHANED,DELETE
dist/assets/index-DEmjDhBl.js,javascript,170.39,Build artifact,ORPHANED,DELETE

# SUMMARY
# Total Assets: 37
# Active Assets: 27 (73%)
# Orphaned Assets: 10 (27%)
# Disk Space to Reclaim: ~400 KB (legacy images) + 258 KB (dist artifacts) = ~658 KB

